Subject,URL,Purpose,License,Relevant Features,Compliance Risks,Safe Integration Recommendation,Confidence,Error
https://github.com/pulentoski/OSINT-CHILE/blob/main/Herramientas.md,https://github.com/pulentoski/OSINT-CHILE/blob/main/Herramientas.md,"El repositorio sirve como una recopilación integral de herramientas, metodologías y dorks específicos para realizar investigaciones de Inteligencia de Fuentes Abiertas (OSINT) en Chile, combinando recursos globales con bases de datos locales.",No determinada,"Dorks específicos para instituciones chilenas (universidades, gobierno, fuerzas armadas); Enlaces a herramientas de inteligencia vehicular (Volante o Maleta, Auto Seguro); Listado de fuentes oficiales chilenas (Registro Civil, PJUD, SERVEL, SII); Referencias a scripts locales de OSINT.","El repositorio documenta técnicas que podrían rozar los límites de la privacidad, como el método de identificación de BancoEstado para obtener nombres completos a partir de números de teléfono, y el uso de dorks para encontrar documentos sensibles (contraseñas, archivos de respaldo). Aunque incluye una nota sobre la Ley 19.628, el uso indebido de estas técnicas puede derivar en doxxing o violaciones de privacidad.","Se recomienda integrar únicamente los enlaces a fuentes oficiales públicas (como SERVEL, SII, Mercado Público) y dorks de búsqueda general que no apunten a información sensible. Las técnicas como la validación por BancoEstado deben ser excluidas del MVP por sus implicaciones de privacidad, y cualquier automatización debe requerir validación humana (human-in-the-loop).",0.95,
https://github.com/crishernandezmaps/catastral.cl,https://github.com/crishernandezmaps/catastral.cl,"El repositorio contiene un pipeline de extracción, vectorización y distribución de datos catastrales del Servicio de Impuestos Internos (SII) de Chile, generando un dataset georreferenciado de 9.5 millones de predios con geometría vectorial para las 346 comunas del país.",No determinada,"Pipeline de extracción de datos tabulares; Descarga de cartografía WMS; Vectorización de imágenes a polígonos; Match espacial (point-in-polygon, nearest); Normalización de datos catastrales; Generación de archivos GeoParquet y CSV","El repositorio utiliza técnicas agresivas de scraping y evasión de bloqueos, como el uso de 70 túneles VPN (WireGuard) para realizar 9.5 millones de llamadas a la API del SII, eludiendo las restricciones de IP y volumen de la institución. Aunque los datos son públicos por la Ley 20.285, la recolección masiva mediante evasión de controles técnicos representa un riesgo de cumplimiento y un posible abuso de la infraestructura pública.","No se debe implementar la recolección masiva mediante túneles VPN ni la evasión de bloqueos de IP. Se recomienda utilizar el repositorio únicamente como referencia técnica para los procesos de vectorización de imágenes WMS y el match espacial de datos, aplicando estas técnicas solo sobre conjuntos de datos obtenidos de manera autorizada o mediante solicitudes formales de transparencia.",0.95,
https://github.com/aboul3la/sublist3r,https://github.com/aboul3la/Sublist3r,"Sublist3r es una herramienta desarrollada en Python diseñada para enumerar subdominios de sitios web utilizando técnicas de Inteligencia de Fuentes Abiertas (OSINT). Su objetivo principal es ayudar a pentesters y cazadores de bugs a recopilar subdominios de un dominio objetivo mediante la consulta a múltiples motores de búsqueda y servicios de terceros, integrando además capacidades de fuerza bruta para mejorar los resultados.",GNU General Public License v2.0,"Enumeración de subdominios mediante múltiples motores de búsqueda (Google, Yahoo, Bing, Baidu, Ask); Integración con servicios de terceros (Netcraft, Virustotal, ThreatCrowd, DNSdumpster, ReverseDNS); Soporte para escaneo de puertos específicos en los subdominios encontrados; Exportación de resultados a archivos de texto; Uso de múltiples hilos para mejorar el rendimiento.","El uso de motores de búsqueda y servicios de terceros para enumerar subdominios puede violar los términos de servicio de dichas plataformas si se realiza de manera intensiva o automatizada sin autorización. Además, la integración de módulos de fuerza bruta (como subbrute) puede ser considerada como actividad hostil o escaneo no autorizado por los administradores de red y proveedores de servicios, lo que podría derivar en bloqueos de IP o implicaciones legales si se ejecuta contra objetivos sin consentimiento explícito.","Para integrar estas capacidades de manera segura en un MVP OSINT, se recomienda utilizar únicamente las consultas pasivas a APIs públicas y servicios de terceros (como DNSdumpster o Virustotal) respetando sus límites de uso y términos de servicio. Se debe excluir completamente el módulo de fuerza bruta (subbrute) y evitar el scraping agresivo de motores de búsqueda, priorizando en su lugar integraciones oficiales o el uso de proxies rotativos con tiempos de espera adecuados si el scraping es estrictamente necesario y legalmente viable.",0.95,
https://github.com/smicallef/spiderfoot,https://github.com/smicallef/spiderfoot,"SpiderFoot es una herramienta de automatización de inteligencia de fuentes abiertas (OSINT) que se integra con múltiples fuentes de datos y utiliza diversos métodos para el análisis de datos, facilitando la navegación de la información recopilada.",MIT,"Más de 200 módulos de extracción; motor de correlación configurable con reglas predefinidas; exportación a CSV/JSON/GEXF; interfaz web y CLI; integración con APIs de terceros (SHODAN, HaveIBeenPwned, etc.); visualizaciones de datos.","El proyecto incluye capacidades ofensivas (como escaneo de puertos, búsqueda en la dark web y consultas a bases de datos de brechas) y scraping de datos personales (correos, teléfonos, nombres), lo que presenta riesgos de privacidad y cumplimiento normativo si se usa sin autorización.",Se recomienda utilizar SpiderFoot exclusivamente de manera defensiva o con autorización explícita (human-in-the-loop). Las capacidades ofensivas y el scraping riesgoso deben clasificarse como no implementables en el MVP sin un marco legal adecuado.,0.95,
https://github.com/elementalsouls/Claude-OSINT,https://github.com/elementalsouls/Claude-OSINT,"El repositorio proporciona un conjunto de habilidades ('skills') para Claude, diseñadas para convertirlo en un operador de reconocimiento externo (OSINT) para evaluaciones de seguridad autorizadas (red-team y bug-bounty). Incluye metodologías estratégicas y un arsenal táctico con más de 90 módulos de reconocimiento.",MIT License,Descubrimiento de activos y subdominios; Mapeo de identidad y SSO; Análisis de superficie de ataque web; Búsqueda de secretos y credenciales; Inteligencia de brechas de seguridad; Inteligencia humana (enumeración de empleados y espacios de trabajo),"El repositorio contiene herramientas de reconocimiento ofensivo, incluyendo escaneo de secretos, enumeración de usuarios y extracción de endpoints. Existe un riesgo significativo de uso indebido si se aplica contra objetivos no autorizados, lo que podría violar leyes de ciberseguridad. Además, la recolección automatizada de datos de identidad (como LinkedIn o correos) puede infringir normativas de privacidad como el GDPR o leyes locales chilenas si no se cuenta con el consentimiento o una base legal adecuada.","Para integrar estas capacidades en un MVP OSINT chileno de manera segura, se recomienda implementar estrictos controles de autorización (human-in-the-loop) antes de ejecutar cualquier módulo de escaneo activo o extracción de datos. Las funcionalidades ofensivas deben ser deshabilitadas o restringidas únicamente a activos propios o con autorización explícita, priorizando la recolección pasiva de fuentes públicas y registros oficiales.",0.95,
https://github.com/rawfilejson/awesome-osint-arsenal,https://github.com/rawfilejson/awesome-osint-arsenal,"Es un extenso conjunto de herramientas curadas de Inteligencia de Fuentes Abiertas (OSINT) y reconocimiento para Kali Linux, que incluye más de 1100 herramientas organizadas en más de 50 categorías, junto con un script de instalación automatizado.",MIT License,Recopilación de OSINT de redes sociales y nombres de usuario; OSINT de correos electrónicos y números de teléfono; Geolocalización y OSINT de mapas; OSINT de imágenes y videos; Reconocimiento facial y búsqueda de personas; Inteligencia corporativa y financiera; Análisis de metadatos y forense digital; Herramientas de OSINT impulsadas por IA.,"El repositorio incluye herramientas de hacking ofensivo, cracking de contraseñas, explotación de vulnerabilidades, ingeniería social y phishing, así como acceso a la Dark Web y bases de datos filtradas. Esto presenta altos riesgos legales y de cumplimiento si se utiliza sin autorización explícita, ya que muchas de estas actividades pueden violar leyes de privacidad y ciberseguridad.","Se recomienda integrar únicamente las herramientas de recolección pasiva de información pública (como búsqueda de nombres de usuario, correos electrónicos, dominios y metadatos) que no requieran autenticación evasiva ni interactúen de forma ofensiva con los objetivos. Las capacidades de explotación, phishing y acceso a la Dark Web deben ser excluidas del MVP o marcadas estrictamente como no implementables.",0.95,
https://github.com/N00dleN00b/WaspSting,https://github.com/N00dleN00b/WaspSting,"WaspSting es una herramienta CLI en Python diseñada para asistir en pruebas de penetración autorizadas, bug bounty y análisis de seguridad. Su objetivo principal es automatizar la documentación, generar reportes estructurados, planes de prueba y facilitar tareas de reconocimiento y escaneo de vulnerabilidades.",MIT,"Auto-documentación y generación de reportes (HTML, JSON, Markdown); Ingestión de alcance de bug bounty para planes de prueba; Integración con IA local (Ollama) para revisión de código; Notificaciones en vivo (Slack, Discord, GitHub Issues); Deduplicación de hallazgos; Búsqueda de CVEs en NVD.","El repositorio incluye herramientas de enumeración de subdominios, fuzzing de payloads (SQLi, XSS, etc.) y escaneo de vulnerabilidades. Estas capacidades ofensivas pueden ser utilizadas para ataques reales si no se cuenta con autorización explícita, lo que representa un riesgo legal y de cumplimiento. Además, el uso de estas herramientas en infraestructuras no autorizadas viola leyes de ciberseguridad.","Para el MVP OSINT chileno, se recomienda integrar únicamente las funcionalidades de generación de reportes estructurados, notificaciones y deduplicación de hallazgos. Las capacidades ofensivas (fuzzing, escaneo activo) deben ser excluidas o reemplazadas por placeholders, asegurando que la herramienta se utilice exclusivamente para recolección pasiva de información pública y análisis defensivo.",0.95,
https://github.com/ipa-lab/hackingBuddyGPT,https://github.com/ipa-lab/hackingBuddyGPT,"HackingBuddyGPT es un framework diseñado para ayudar a investigadores de seguridad y hackers éticos a utilizar modelos de lenguaje grandes (LLMs) para descubrir nuevos vectores de ataque y realizar pruebas de penetración, permitiendo la creación de agentes autónomos en pocas líneas de código.",MIT License,Ejecución de comandos locales y remotos (SSH); agentes autónomos para escalada de privilegios en Linux; pruebas de penetración web y de API REST; integración con LLMs para generación aumentada por recuperación (RAG) y cadena de pensamiento (CoT); registro de trazas en base de datos SQLite local.,"El repositorio incluye capacidades ofensivas de ejecución autónoma de comandos en entornos reales, tanto locales como remotos (SSH), lo que presenta un alto riesgo de modificación de sistemas, pérdida de datos y explotación de vulnerabilidades si se ejecuta sin autorización o en entornos de producción.",Las capacidades ofensivas y de ejecución autónoma de comandos deben clasificarse como no implementables o requerir estrictamente un enfoque human-in-the-loop (HITL) para el MVP OSINT chileno. Se recomienda utilizar el framework únicamente en entornos aislados (sandboxes o máquinas virtuales) y limitar su uso a la generación de reportes o sugerencias teóricas sin ejecución automática.,0.95,
https://github.com/sooryathejas/METATRON,https://github.com/sooryathejas/METATRON,"METATRON es un asistente de pruebas de penetración basado en línea de comandos que utiliza un modelo de lenguaje local (Ollama) para analizar resultados de herramientas de reconocimiento (como nmap, whois, nikto) y sugerir vulnerabilidades, exploits y soluciones, almacenando el historial en una base de datos MariaDB.",MIT License,"Análisis de vulnerabilidades con IA local (Ollama); Integración automatizada de herramientas de reconocimiento (nmap, whois, whatweb, curl, dig); Búsqueda web de CVEs mediante DuckDuckGo sin API keys; Almacenamiento estructurado de resultados en base de datos relacional (MariaDB); Generación de reportes exportables en PDF y HTML.","El proyecto es una herramienta de pruebas de penetración que automatiza el escaneo de vulnerabilidades y sugiere exploits. Su uso no autorizado en sistemas de terceros es ilegal y constituye un riesgo de seguridad y cumplimiento normativo. Además, la ejecución de herramientas como nmap o nikto puede generar alertas en sistemas de detección de intrusos y ser considerada como actividad hostil.","Las capacidades ofensivas y de escaneo activo (como nmap y nikto) no deben implementarse en el MVP OSINT chileno debido a riesgos legales. Sin embargo, se puede adaptar la arquitectura de análisis con IA local (Ollama) para procesar datos de fuentes abiertas pasivas y la estructura de almacenamiento en base de datos para mantener un historial de investigaciones de forma segura y privada.",0.95,
https://github.com/D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,"Scrapling es un framework de web scraping adaptativo y de alto rendimiento para Python que maneja desde solicitudes individuales hasta rastreos a gran escala. Ofrece capacidades avanzadas como selección inteligente de elementos que sobrevive a cambios de diseño, soporte para múltiples sesiones, evasión de sistemas anti-bot y automatización completa del navegador.","BSD 3-Clause ""New"" or ""Revised"" License",API similar a Scrapy; rastreo concurrente; soporte multi-sesión; pausa y reanudación de rastreos; modo de transmisión (streaming); cumplimiento opcional de robots.txt; selección inteligente y adaptativa de elementos; integración con IA mediante servidor MCP; alta velocidad y eficiencia de memoria,"El proyecto incluye capacidades explícitas para evadir protecciones anti-bot (como Cloudflare Turnstile, Akamai, DataDome, Kasada e Incapsula) mediante su StealthyFetcher y la integración con servicios de terceros. Esto presenta riesgos legales y de cumplimiento significativos si se utiliza para recolectar datos de sitios que prohíben explícitamente el scraping automatizado en sus términos de servicio.","Se recomienda integrar únicamente las funcionalidades de rastreo estándar (Spiders) y selección adaptativa de elementos, asegurando que la bandera 'robots_txt_obey' esté activada. Las capacidades de evasión de anti-bots (StealthyFetcher) y rotación de proxies para eludir bloqueos deben clasificarse como no implementables o requerir supervisión humana (human-in-the-loop) para garantizar el cumplimiento de los términos de servicio de los sitios objetivo.",0.95,
